Date;Close;High;Low;Open;Volume
17/07/2023;4.643.564.987.182.610;4.647.063.062.366.610;4.523.730.653.549.650;4.626.374.664.142.160;510488000
18/07/2023;47.468.082.427.978.500;4.786.986.348.716.580;457.090.445.218.803;46.675.515.893.049.700;569164000
19/07/2023;4.705.131.530.761.710;47.791.912.159.998.700;4.671.649.899.256.560;4.743.810.520.447.180;427502000
20/07/2023;4.549.516.677.856.440;47.061.313.235.391.900;4.503.741.645.990.330;4.648.162.782.743.170;537865000
21/07/2023;44.284.820.556.640.600;4.584.097.398.700.810;4.407.593.496.513.590;457.630.136.202.291;963769000
24/07/2023;4.458.766.174.316.400;4.508.439.225.529.300;4.401.597.519.686.050;4.470.659.630.501.920;382516000
25/07/2023;4.565.407.943.725.580;4.615.780.227.032.590;4.489.849.137.503.460;44.916.483.110.194;348081000
26/07/2023;4.542.719.650.268.550;46.027.870.275.466.700;4.460.564.647.122.580;4.599.588.624.332.520;364237000
27/07/2023;4.587.495.803.833.000;473.691.412.842.477;4.572.503.835.474.350;4.649.361.978.738.990;455976000
28/07/2023;4.672.449.493.408.200;4.700.134.424.016.970;4.635.569.676.531.060;4.664.253.893.821.810;331194000
31/07/2023;4.670.350.646.972.650;4.710.428.867.492.160;4.648.062.855.732.840;4.672.849.435.569.350;251055000
01/08/2023;46.481.624.603.271.400;4.687.441.172.832.590;4.600.188.696.062.380;46.434.649.363.103.700;237858000
02/08/2023;4.424.484.634.399.410;4.581.498.829.927.390;43.363.327.623.503.500;4.580.599.433.851.230;530142000
03/08/2023;444.907.112.121.582;45.093.382.845.124.500;43.776.101.176.403.900;43.776.101.176.403.900;324176000
04/08/2023;4.465.562.057.495.110;4.561.709.364.469.400;4.436.877.842.760.470;44.960.454.456.109.300;362666000
07/08/2023;453.922.233.581.543;4.551.515.735.566.510;44.538.689.151.581.100;45.086.390.535.169.300;322154000
08/08/2023;4.463.963.317.871.090;45.217.316.942.470.700;4.403.196.319.010.820;4.482.852.923.844.910;353843000
09/08/2023;4.253.077.697.753.900;4.428.781.696.824.130;4.211.100.421.028.480;44.249.835.693.708.100;586449000
